date,date,er,g,z,d,y,pi,c,R,ylag
7710.0,7710.0,0.0016115800977780509,0.0065838030707385834,-0.008650744501759023,0.02080797079297542,0.004579592302812773,0.0014117582683163188,-0.0020042107679258104,-0.0001341398996433284,0.002918186676547942
7711.0,7711.0,0.002661541244454017,0.00558653633381831,-0.006968889581867173,0.025919064613939446,0.0020827966446193354,0.00024907876566622337,-0.0035037396891989757,0.0008284759758339109,0.004579592302812773
7712.0,7712.0,0.003420111879125388,0.0042104995231292686,5.678468860792138e-5,0.010154553766591924,-0.001837002697128496,-0.0021750365297391852,-0.006047502220257765,0.002194722792312719,0.0020827966446193354
7713.0,7713.0,-0.0002474793349827036,0.000671670179714277,0.003813914397799192,0.011048708090272362,-0.002083081709929257,-0.0015305489095134514,-0.002754751889643534,0.0014117092013801694,-0.001837002697128496
7714.0,7714.0,-0.0001410913275584687,-0.003537708973942851,0.0033411375729920567,0.0019541657437358445,-0.003935416223434535,-0.0012911582257130814,-0.00039770724949168314,0.0006086791558342736,-0.002083081709929257
7715.0,7715.0,0.002875414082937843,-0.0007395522766004406,-0.00798632545360508,-0.024910004767085842,-0.005154559539985248,-0.0019945883984245592,-0.004415007263384808,0.0005208995614739566,-0.003935416223434535
7716.0,7716.0,0.00087376041459867,-0.0022127859317866536,0.004536333106490601,-0.005247474082876517,-0.004398662364978861,-0.002127278424422857,-0.0021858764331922067,0.0012215724182513597,-0.005154559539985248
7717.0,7717.0,-0.003393971146946349,0.002582004219903031,0.004189130339596793,-0.004213349824589953,0.002281301030414255,0.00016446710649745686,-0.0003007031894887765,-0.00020084794490856208,-0.004398662364978861
7718.0,7718.0,0.00048222443868695114,0.0009122042368599316,0.005280207194204849,0.013127107336239686,0.0002662895016985259,-0.00046374635747848845,-0.0006459147351614051,0.0007203763273071551,0.002281301030414255
7719.0,7719.0,0.0025314064458190903,0.0022603612073290903,0.005008069614842403,0.010721415965716425,-0.0025439581793427948,-0.0024077425261213596,-0.004804319386671885,0.0022864544931067202,0.0002662895016985259
7720.0,7720.0,0.0016873309144496103,-0.0011152972537294978,0.002169954814828653,0.00493821449050664,-0.005372286818568469,-0.002693749888705528,-0.0042569895648389726,0.0019867032972262968,-0.0025439581793427948
7721.0,7721.0,-0.002054927177323891,-0.004648587972631609,-0.0018290703101703555,-0.015164423648196533,-0.00370093946723527,-0.0004505667518640063,0.0009476485053963395,-0.0007307729504442196,-0.005372286818568469
7722.0,7722.0,0.0010155163442629026,-0.0055730970619818805,0.0008254411176695772,-0.014325151822021254,-0.004805983117313393,-0.0010699451439809089,0.0007671139446684871,-0.0001802755873146207,-0.00370093946723527
7723.0,7723.0,0.0027670857768628274,-0.0044468169380285005,0.0035771838122778364,-0.029708124906703413,-0.007466199714519259,-0.003193455166570992,-0.003019382776490758,0.001141994194548322,-0.004805983117313393
7724.0,7724.0,-0.001156551413265023,-0.0033926846226799505,0.0033233081429053664,-0.02073210535002465,-0.004191190407676962,-0.0016120569218598094,-0.0007985057849970107,0.00021204456315707598,-0.007466199714519259
7725.0,7725.0,0.003236511793057734,-0.0009395182973864959,-0.004301908476212343,0.0027934118335917538,-0.004882875707915336,-0.00198267328408272,-0.00394335741052884,0.0013964129556760412,-0.004191190407676962
7726.0,7726.0,-0.0006340773386180005,-0.00129227808801647,0.011729770333071222,-0.004138098991038251,-0.003591516266401668,-0.002558962245052348,-0.002299238178385198,0.0017045340943142502,-0.004882875707915336
7727.0,7727.0,-3.241616766080815e-5,-0.0013308491887163677,0.0015168186054495035,-0.02012228897144669,-0.003909973098281548,-0.0018980033787866573,-0.0025791239095651797,0.0005791282584411771,-0.003591516266401668
7728.0,7728.0,-0.002121044001093291,-0.0040833796284561515,0.002393792307585762,-0.017765799714903014,-0.0021221753721149717,-0.00015811920786723143,0.0019612042563411794,-0.000920371735815852,-0.003909973098281548
7729.0,7729.0,-0.0003017806082079536,-0.005197636862536168,0.01328806616772342,-0.012019486237256276,-0.0036155374969184346,-0.0015968912996878648,0.0015820993656177334,0.00044330051971398614,-0.0021221753721149717
7730.0,7730.0,-0.00029771225068429385,-0.007531302258966772,-0.004217951278340731,-0.048213482787248546,-0.006007440143679524,-0.0008282093584857726,0.0015238621152872476,-0.0016692720706456632,-0.0036155374969184346
7731.0,7731.0,-0.0011796662948924607,-0.004344290175508009,0.004094255948629217,-0.05957548629417453,-0.002834539287915581,-0.0008858169275461042,0.0015097508875924282,-0.0015513460200719063,-0.006007440143679524
7732.0,7732.0,-0.001830343323418798,-0.006919870714719889,0.0048187722748547,-0.07074259544599398,-0.0033185269556573957,-0.0004655822388292059,0.003601343759062493,-0.0024639051206733855,-0.002834539287915581
7733.0,7733.0,-0.0016250570751382776,-0.010193221347478092,0.005113084980356716,-0.03564983280109152,-0.003595778628385446,0.0004996969887049395,0.006597442719092647,-0.0023885154092551995,-0.0033185269556573957
7734.0,7734.0,-0.0011149562526911831,-0.006642150962540701,0.0033622776003470927,-0.024640282210450823,-0.0019704764837387132,0.0005185682655625139,0.004671674478801988,-0.0017785474519840462,-0.003595778628385446
7735.0,7735.0,-1.456317138880933e-5,-0.011092954088097694,-0.0015826100736580752,-0.03315690772868544,-0.005584689661444245,0.0002896758948235327,0.005508264426653451,-0.002305347024935076,-0.0019704764837387132
7736.0,7736.0,0.001672466495440978,-0.007369171389507747,0.007933132663086515,-0.017397151786622038,-0.006005365327582621,-0.0018656549756645275,0.001363806061925126,0.00033048985954919874,-0.005584689661444245
7737.0,7737.0,0.0008720408234570221,-0.006380879636987701,-0.008126178384818342,0.004747087885504663,-0.0053190453596972135,-0.00021933801276067914,0.0010618342772904872,-0.00043583530525802717,-0.006005365327582621
7738.0,7738.0,0.0011149495101018705,-0.00418700721884088,-0.010599047160325708,0.021955218239979285,-0.0029165956031155776,0.0007210830783978521,0.0012704116157253018,-0.00046528862447150576,-0.0053190453596972135
7739.0,7739.0,0.0010404910036487807,-0.0010615035103282342,-0.006322406914960672,0.04257575962871498,-0.00046988098637659303,0.0008550742765915334,0.0005916225239516405,0.00035326303744772253,-0.0029165956031155776
7740.0,7740.0,0.00031686716465933437,0.001357817470603115,0.0061249501523007515,0.02676925625010487,-9.486403707909566e-5,-0.0008060200999012316,-0.0014526815076822113,0.0014543406945821294,-0.00046988098637659303
7741.0,7741.0,-0.0029849150056614946,-0.0006323746627915712,0.0029907258252269272,0.011873301103144163,0.0013131947494549948,0.00081629746509924,0.0019455694122465653,-0.0005348059842390273,-9.486403707909566e-5
7742.0,7742.0,0.0017146841601753645,0.001101816378411122,0.0020420540092170696,-0.008100539898138187,-0.0011534889650638472,-0.001140821647268021,-0.002255305343474969,0.0006103846939656248,0.0013131947494549948
7743.0,7743.0,-0.0003965212049395087,-0.002266880729850109,-0.010193802247980426,-0.02574987151875844,-0.0017214806282167777,0.0005767212212148297,0.0005454001016333317,-0.0017176300213174347,-0.0011534889650638472
7744.0,7744.0,-0.0007481771780069894,0.0006048604811389516,-0.0004066111461684544,-0.03000917720098238,0.0013530322111762272,0.0004683087440574439,0.0007481717300372763,-0.0013558519162790547,-0.0017214806282167777
7745.0,7745.0,0.0034098890605285025,-0.0031291674295078637,0.0004010046183237731,-0.01868934940941253,-0.004585943613781304,-0.0016764713031944213,-0.0014567761842734397,0.00036800009334394374,0.0013530322111762272
7746.0,7746.0,-0.001463704162750244,-0.003903915803935615,0.0013963407074400413,-0.02924043160153463,-0.0029008615510267895,-0.0006208344558700958,0.0010030542529088254,-0.0008881791421694062,-0.004585943613781304
